,num_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,hour,day,month,year,cons_glbal
5154,34,2020-02-16 19:00:00,4927621.480018616,678.890625,13288830.73059845,2591.625,1171519.096420288,0.0,19,Sunday,2,2020,3270.515625
5155,34,2020-02-16 20:00:00,4928300.058143616,678.578125,13291254.04309845,2423.3125,1171654.1989593506,135.1025390625,20,Sunday,2,2020,3236.9931640625
5156,34,2020-02-16 21:00:00,4928973.370643616,673.3125,13293706.41809845,2452.375,1171654.1989593506,0.0,21,Sunday,2,2020,3125.6875
5157,34,2020-02-16 22:00:00,4929648.433143616,675.0625,13296029.10559845,2322.6875,1171654.1989593506,0.0,22,Sunday,2,2020,2997.75
5158,34,2020-02-16 23:00:00,4930325.792518616,677.359375,13298616.10559845,2587.0,1171654.1989593506,0.0,23,Sunday,2,2020,3264.359375
5159,34,2020-02-17 00:00:00,4931005.730018616,679.9375,13300807.79309845,2191.6875,1171654.1989593506,0.0,0,Monday,2,2020,2871.625
5160,34,2020-02-17 01:00:00,4931684.261268616,678.53125,13303238.54309845,2430.75,1171790.9606781006,136.76171875,1,Monday,2,2020,3246.04296875
5161,34,2020-02-17 02:00:00,4932364.980018616,680.71875,13305710.23059845,2471.6875,1171790.9606781006,0.0,2,Monday,2,2020,3152.40625
5162,34,2020-02-17 03:00:00,4933047.964393616,682.984375,13307945.98059845,2235.75,1171790.9606781006,0.0,3,Monday,2,2020,2918.734375
5163,34,2020-02-17 04:00:00,4933728.761268616,680.796875,13310373.91809845,2427.9375,1171790.9606781006,0.0,4,Monday,2,2020,3108.734375
5164,34,2020-02-17 05:00:00,4934412.370643616,683.609375,13312813.48059845,2439.5625,1171790.9606781006,0.0,5,Monday,2,2020,3123.171875
5165,34,2020-02-17 06:00:00,4935073.526893616,661.15625,13315327.41809845,2513.9375,1171790.9606781006,0.0,6,Monday,2,2020,3175.09375
